Threshold,Overall_Accuracy,Participant 1,Participant 2,Participant 3,Participant 4
0.53,51.358024691358025,54.736842105263165,46.15384615384615,56.81818181818182,44.919786096256686
0.54,51.48148148148148,54.736842105263165,46.15384615384615,57.1969696969697,44.919786096256686
0.55,52.09876543209877,55.78947368421052,46.74556213017752,57.1969696969697,45.98930481283423
0.56,52.716049382716044,55.78947368421052,47.928994082840234,57.57575757575758,47.05882352941176
0.5700000000000001,52.716049382716044,55.78947368421052,47.337278106508876,57.95454545454546,47.05882352941176
0.58,53.086419753086425,55.78947368421052,47.928994082840234,58.333333333333336,47.593582887700535
0.59,53.827160493827165,56.84210526315789,48.5207100591716,58.333333333333336,49.19786096256685
0.6,54.32098765432099,57.36842105263158,49.112426035502956,58.71212121212122,49.73262032085562
0.61,54.81481481481482,57.36842105263158,49.70414201183432,59.46969696969697,50.26737967914438
0.62,55.30864197530864,57.89473684210527,50.887573964497044,59.46969696969697,50.80213903743316
0.63,55.67901234567901,57.89473684210527,51.4792899408284,59.46969696969697,51.87165775401069
0.64,56.2962962962963,58.94736842105262,52.071005917159766,59.84848484848485,52.406417112299465
0.65,56.79012345679012,59.473684210526315,52.071005917159766,60.22727272727273,53.475935828877006
0.66,56.79012345679012,59.473684210526315,52.071005917159766,60.22727272727273,53.475935828877006
0.67,57.160493827160494,59.473684210526315,52.071005917159766,60.60606060606061,54.54545454545454
0.68,58.0246913580247,60.526315789473685,52.071005917159766,62.121212121212125,55.080213903743314
0.6900000000000001,58.14814814814815,60.526315789473685,52.071005917159766,62.121212121212125,55.61497326203209
0.7000000000000001,58.395061728395056,61.05263157894737,52.071005917159766,62.121212121212125,56.14973262032086
0.71,59.135802469135804,62.10526315789474,53.84615384615385,62.5,56.14973262032086
0.72,59.38271604938271,62.10526315789474,55.02958579881657,62.121212121212125,56.68449197860963
0.73,60.0,63.1578947368421,55.62130177514793,62.878787878787875,56.68449197860963
0.74,59.75308641975309,63.1578947368421,55.02958579881657,62.5,56.68449197860963
0.75,60.24691358024692,63.1578947368421,55.02958579881657,62.878787878787875,58.288770053475936
0.76,60.74074074074074,63.68421052631579,55.02958579881657,62.878787878787875,59.893048128342244
0.77,61.111111111111114,64.21052631578948,55.62130177514793,63.25757575757576,59.893048128342244
0.78,61.358024691358025,64.73684210526316,56.213017751479285,63.25757575757576,59.893048128342244
0.79,61.72839506172839,65.78947368421053,56.213017751479285,63.25757575757576,60.42780748663101
0.8,61.85185185185185,66.3157894736842,56.213017751479285,62.878787878787875,60.962566844919785
0.81,61.85185185185185,67.89473684210526,56.213017751479285,62.5,59.893048128342244
0.8200000000000001,62.22222222222222,68.94736842105263,56.80473372781065,62.5,59.893048128342244
0.8300000000000001,62.46913580246913,68.42105263157895,56.80473372781065,62.878787878787875,60.962566844919785
0.84,63.08641975308642,68.42105263157895,57.98816568047337,63.25757575757576,62.03208556149733
0.85,63.08641975308642,67.89473684210526,58.57988165680473,63.25757575757576,62.03208556149733
0.86,63.33333333333333,67.89473684210526,59.171597633136095,63.25757575757576,62.56684491978609
0.87,64.19753086419753,68.94736842105263,59.76331360946746,64.39393939393939,63.101604278074866
0.88,64.81481481481481,68.94736842105263,59.76331360946746,65.9090909090909,63.63636363636363
0.89,64.93827160493827,69.47368421052632,59.76331360946746,65.9090909090909,63.63636363636363
0.9,65.92592592592592,70.52631578947368,62.721893491124256,65.9090909090909,64.1711229946524
0.91,66.0493827160494,70.52631578947368,62.721893491124256,66.28787878787878,64.1711229946524
0.92,66.0493827160494,70.0,63.31360946745562,66.28787878787878,64.1711229946524
0.93,66.5432098765432,71.57894736842105,63.905325443786985,66.28787878787878,64.1711229946524
0.9400000000000001,67.65432098765433,72.10526315789474,66.27218934911244,67.42424242424242,64.70588235294117
0.9500000000000001,67.77777777777779,72.10526315789474,66.27218934911244,67.42424242424242,65.24064171122996
0.96,68.64197530864197,72.63157894736842,68.04733727810651,67.8030303030303,66.31016042780749
0.97,68.88888888888889,71.05263157894737,69.23076923076923,67.04545454545455,68.98395721925134
0.98,69.38271604938272,71.05263157894737,68.63905325443787,68.18181818181817,70.05347593582889
0.99,68.39506172839506,68.42105263157895,66.27218934911244,67.8030303030303,71.12299465240642
1.0,52.8395061728395,57.36842105263158,59.171597633136095,40.53030303030303,59.893048128342244
