Participant,Hand,Expected Gesture,Predicted Gesture,Confidence,File,Correct
Mostafa,Right,Hello,Hello,0.973383367061615,Mostafa-Hello-Right_Right_2025-04-04_12-55-21.csv,True
Mostafa,Left,How-Are-You,How-Are-You,0.9999951124191284,Mostafa-How-Are-You_Left_2025-04-04_13-02-53.csv,True
Mostafa,Left,How-Are-You,How-Are-You,0.9999949932098389,Mostafa-How-Are-You_Left_2025-04-04_13-02-54.csv,True
Mostafa,Left,How-Are-You,How-Are-You,0.9999940395355225,Mostafa-How-Are-You_Left_2025-04-04_13-02-55.csv,True
Mostafa,Right,How-Are-You,How-Are-You,0.9999862909317017,Mostafa-How-Are-You_Right_2025-04-04_13-02-45.csv,True
Mostafa,Right,How-Are-You,How-Are-You,0.9999825954437256,Mostafa-How-Are-You_Right_2025-04-04_13-02-46.csv,True
Mostafa,Right,How-Are-You,How-Are-You,0.9999774694442749,Mostafa-How-Are-You_Right_2025-04-04_13-02-47.csv,True
Mostafa,Left,No,Stop-Talking,0.8744111061096191,Mostafa-No_Left_2025-04-04_13-02-10.csv,False
Mostafa,Left,No,Stop-Talking,0.9139484167098999,Mostafa-No_Left_2025-04-04_13-02-11.csv,False
Mostafa,Left,No,Stop-Talking,0.9133938550949097,Mostafa-No_Left_2025-04-04_13-02-12.csv,False
Mostafa,Right,No,Stop-Talking,0.7342647314071655,Mostafa-No_Right_2025-04-04_13-01-44.csv,False
Mostafa,Right,No,Unknown Gesture,0.5245923399925232,Mostafa-No_Right_2025-04-04_13-01-45.csv,False
Mostafa,Right,No,Unknown Gesture,0.5474464297294617,Mostafa-No_Right_2025-04-04_13-01-46.csv,False
Mostafa,Left,Repeat-That,Repeat-That,0.9934750199317932,Mostafa-Repeat-That_Left_2025-04-04_13-06-43.csv,True
Mostafa,Left,Repeat-That,Repeat-That,0.9941458702087402,Mostafa-Repeat-That_Left_2025-04-04_13-06-44.csv,True
Mostafa,Left,Repeat-That,Repeat-That,0.9963207244873047,Mostafa-Repeat-That_Left_2025-04-04_13-06-45.csv,True
Mostafa,Left,Repeat-That,Repeat-That,0.9962518811225891,Mostafa-Repeat-That_Left_2025-04-04_13-06-46.csv,True
Mostafa,Right,Repeat-That,Repeat-That,0.9987673759460449,Mostafa-Repeat-That_Right_2025-04-04_13-06-37.csv,True
Mostafa,Right,Repeat-That,Repeat-That,0.9986997842788696,Mostafa-Repeat-That_Right_2025-04-04_13-06-38.csv,True
Mostafa,Right,Repeat-That,Repeat-That,0.9988676309585571,Mostafa-Repeat-That_Right_2025-04-04_13-06-39.csv,True
Mostafa,Right,Repeat-That,Repeat-That,0.9987126588821411,Mostafa-Repeat-That_Right_2025-04-04_13-06-40.csv,True
Mostafa,Left,Start-Talking,How-Are-You,0.7488642334938049,Mostafa-Start-Talking_Left_2025-04-04_12-57-52.csv,False
Mostafa,Left,Start-Talking,Unknown Gesture,0.681968092918396,Mostafa-Start-Talking_Left_2025-04-04_12-57-54.csv,False
Mostafa,Left,Start-Talking,How-Are-You,0.7383935451507568,Mostafa-Start-Talking_Left_2025-04-04_12-57-55.csv,False
Mostafa,Left,Start-Talking,How-Are-You,0.7532607316970825,Mostafa-Start-Talking_Left_2025-04-04_12-57-56.csv,False
Mostafa,Right,Start-Talking,Start-Talking,0.9999547004699707,Mostafa-Start-Talking_Right_2025-04-04_12-57-32.csv,True
Mostafa,Right,Start-Talking,Start-Talking,0.9999701976776123,Mostafa-Start-Talking_Right_2025-04-04_12-57-34.csv,True
Mostafa,Right,Start-Talking,Start-Talking,0.9999818801879883,Mostafa-Start-Talking_Right_2025-04-04_12-57-35.csv,True
Mostafa,Left,Stop-Talking,Stop-Talking,0.9900471568107605,Mostafa-Stop-Talking_Left_2025-04-04_12-59-59.csv,True
Mostafa,Left,Stop-Talking,Stop-Talking,0.9861781597137451,Mostafa-Stop-Talking_Left_2025-04-04_13-00-00.csv,True
Mostafa,Left,Stop-Talking,Stop-Talking,0.9878260493278503,Mostafa-Stop-Talking_Left_2025-04-04_13-00-01.csv,True
Mostafa,Right,Stop-Talking,Stop-Talking,0.9998101592063904,Mostafa-Stop-Talking_Right_2025-04-04_12-59-52.csv,True
Mostafa,Right,Stop-Talking,Stop-Talking,0.999778687953949,Mostafa-Stop-Talking_Right_2025-04-04_12-59-53.csv,True
Mostafa,Right,Stop-Talking,Stop-Talking,0.9998204112052917,Mostafa-Stop-Talking_Right_2025-04-04_12-59-54.csv,True
Mostafa,Left,Tell-Me-More,Tell-Me-More,0.9958444237709045,Mostafa-Tell-Me-More_Left_2025-04-04_13-05-53.csv,True
Mostafa,Left,Tell-Me-More,Tell-Me-More,0.9956034421920776,Mostafa-Tell-Me-More_Left_2025-04-04_13-05-54.csv,True
Mostafa,Left,Tell-Me-More,Tell-Me-More,0.995915949344635,Mostafa-Tell-Me-More_Left_2025-04-04_13-05-55.csv,True
Mostafa,Left,Tell-Me-More,Tell-Me-More,0.9960008263587952,Mostafa-Tell-Me-More_Left_2025-04-04_13-05-56.csv,True
Mostafa,Right,Tell-Me-More,Hello,0.7732503414154053,Mostafa-Tell-Me-More_Right_2025-04-04_13-05-42.csv,False
Mostafa,Right,Tell-Me-More,Hello,0.7746469378471375,Mostafa-Tell-Me-More_Right_2025-04-04_13-05-43.csv,False
Mostafa,Right,Tell-Me-More,Hello,0.7692734599113464,Mostafa-Tell-Me-More_Right_2025-04-04_13-05-44.csv,False
Mostafa,Right,Tell-Me-More,Hello,0.7271462678909302,Mostafa-Tell-Me-More_Right_2025-04-04_13-05-45.csv,False
Mostafa,Left,Thank-You,Thank-You,0.9887771010398865,Mostafa-Thank-You_Left_2025-04-04_13-03-36.csv,True
Mostafa,Left,Thank-You,Thank-You,0.9923088550567627,Mostafa-Thank-You_Left_2025-04-04_13-03-37.csv,True
Mostafa,Left,Thank-You,Thank-You,0.9893262386322021,Mostafa-Thank-You_Left_2025-04-04_13-03-38.csv,True
Mostafa,Right,Thank-You,Thank-You,0.9999964237213135,Mostafa-Thank-You_Right_2025-04-04_13-03-29.csv,True
Mostafa,Right,Thank-You,Thank-You,0.9999974966049194,Mostafa-Thank-You_Right_2025-04-04_13-03-30.csv,True
Mostafa,Right,Thank-You,Thank-You,0.9999980926513672,Mostafa-Thank-You_Right_2025-04-04_13-03-31.csv,True
Mostafa,Right,Thank-You,Thank-You,0.9999980926513672,Mostafa-Thank-You_Right_2025-04-04_13-03-32.csv,True
Mostafa,Left,Unknown Gesture,Unknown Gesture,0.38529425859451294,Unknown_Left_1.csv,True
Mostafa,Left,Unknown Gesture,Start-Talking,0.7261354923248291,Unknown_Left_10.csv,False
Mostafa,Left,Unknown Gesture,Start-Talking,0.7181371450424194,Unknown_Left_2.csv,False
Mostafa,Left,Unknown Gesture,Hello,0.999847412109375,Unknown_Left_3.csv,False
Mostafa,Left,Unknown Gesture,Stop-Talking,0.8624323010444641,Unknown_Left_4.csv,False
Mostafa,Left,Unknown Gesture,Unknown Gesture,0.4781719744205475,Unknown_Left_5.csv,True
Mostafa,Left,Unknown Gesture,Hello,0.943553626537323,Unknown_Left_6.csv,False
Mostafa,Left,Unknown Gesture,Unknown Gesture,0.41483837366104126,Unknown_Left_7.csv,True
Mostafa,Left,Unknown Gesture,Unknown Gesture,0.6258730292320251,Unknown_Left_8.csv,True
Mostafa,Left,Unknown Gesture,Unknown Gesture,0.5653510689735413,Unknown_Left_9.csv,True
Mostafa,Right,Unknown Gesture,Hello,0.9992730021476746,Unknown_Right_1.csv,False
Mostafa,Right,Unknown Gesture,Hello,0.9999998807907104,Unknown_Right_10.csv,False
Mostafa,Right,Unknown Gesture,Hello,0.9999995231628418,Unknown_Right_2.csv,False
Mostafa,Right,Unknown Gesture,Hello,0.9999983310699463,Unknown_Right_3.csv,False
Mostafa,Right,Unknown Gesture,Hello,0.9987093210220337,Unknown_Right_4.csv,False
Mostafa,Right,Unknown Gesture,Hello,0.9987974166870117,Unknown_Right_5.csv,False
Mostafa,Right,Unknown Gesture,How-Are-You,0.8928043842315674,Unknown_Right_6.csv,False
Mostafa,Right,Unknown Gesture,Hello,0.9999892711639404,Unknown_Right_7.csv,False
Mostafa,Right,Unknown Gesture,Hello,0.999809205532074,Unknown_Right_8.csv,False
Mostafa,Right,Unknown Gesture,How-Are-You,0.7783575057983398,Unknown_Right_9.csv,False
Mostafa,Left,Yes,Yes,0.9999651908874512,Mostafa-Yes_Left_2025-04-04_13-00-54.csv,True
Mostafa,Left,Yes,Yes,0.9999682903289795,Mostafa-Yes_Left_2025-04-04_13-00-55.csv,True
Mostafa,Left,Yes,Yes,0.9999791383743286,Mostafa-Yes_Left_2025-04-04_13-00-56.csv,True
Mostafa,Right,Yes,Yes,0.9999880790710449,Mostafa-Yes_Right_2025-04-04_13-00-47.csv,True
Mostafa,Right,Yes,Yes,0.9999880790710449,Mostafa-Yes_Right_2025-04-04_13-00-48.csv,True
Mostafa,Right,Yes,Yes,0.9999901056289673,Mostafa-Yes_Right_2025-04-04_13-00-49.csv,True
Mykola,Left,Goodbye,Goodbye,0.7028360962867737,Mykola-Goodbye_Left_2025-04-04_13-58-22.csv,True
Mykola,Left,Goodbye,Goodbye,0.9006901979446411,Mykola-Goodbye_Left_2025-04-04_13-58-23.csv,True
Mykola,Left,Goodbye,Goodbye,0.9315676093101501,Mykola-Goodbye_Left_2025-04-04_13-58-24.csv,True
Mykola,Left,Goodbye,Unknown Gesture,0.5858824253082275,Mykola-Goodbye_Left_2025-04-04_13-58-25.csv,False
Mykola,Left,Goodbye,Unknown Gesture,0.6985994577407837,Mykola-Goodbye_Left_2025-04-04_13-58-26.csv,False
Mykola,Left,Goodbye,Unknown Gesture,0.5098758339881897,Mykola-Goodbye_Left_2025-04-04_13-58-27.csv,False
Mykola,Left,Goodbye,Goodbye,0.8645082712173462,Mykola-Goodbye_Left_2025-04-04_13-58-28.csv,True
Mykola,Right,Goodbye,Unknown Gesture,0.47196948528289795,Mykola-Goodbye_Right_2025-04-04_13-58-09.csv,False
Mykola,Right,Goodbye,Goodbye,0.9993502497673035,Mykola-Goodbye_Right_2025-04-04_13-58-10.csv,True
Mykola,Right,Goodbye,Goodbye,0.9990248680114746,Mykola-Goodbye_Right_2025-04-04_13-58-11.csv,True
Mykola,Right,Goodbye,Goodbye,0.9998059868812561,Mykola-Goodbye_Right_2025-04-04_13-58-12.csv,True
Mykola,Right,Goodbye,Goodbye,0.9999786615371704,Mykola-Goodbye_Right_2025-04-04_13-58-13.csv,True
Mykola,Right,Goodbye,Goodbye,0.9999234676361084,Mykola-Goodbye_Right_2025-04-04_13-58-14.csv,True
Mykola,Right,Goodbye,Goodbye,0.9999690055847168,Mykola-Goodbye_Right_2025-04-04_13-58-15.csv,True
Mykola,Right,Goodbye,Goodbye,0.9999902248382568,Mykola-Goodbye_Right_2025-04-04_13-58-16.csv,True
Mykola,Left,Hello,Hello,0.9991998076438904,Mykola-Hello_Left_2025-04-04_13-52-39.csv,True
Mykola,Left,Hello,Hello,0.9999954700469971,Mykola-Hello_Left_2025-04-04_13-52-40.csv,True
Mykola,Left,Hello,Hello,0.9999902248382568,Mykola-Hello_Left_2025-04-04_13-52-41.csv,True
Mykola,Left,Hello,Hello,0.9943326711654663,Mykola-Hello_Left_2025-04-04_13-52-42.csv,True
Mykola,Left,Hello,Hello,0.9966579675674438,Mykola-Hello_Left_2025-04-04_13-52-43.csv,True
Mykola,Left,Hello,Start-Talking,0.9999985694885254,Mykola-Hello_Left_2025-04-04_13-52-46.csv,False
Mykola,Right,Hello,Goodbye,0.9868298172950745,Mykola-Hello_Right_2025-04-04_13-52-22.csv,False
Mykola,Right,Hello,Goodbye,0.9895025491714478,Mykola-Hello_Right_2025-04-04_13-52-23.csv,False
Mykola,Right,Hello,Goodbye,0.9913209080696106,Mykola-Hello_Right_2025-04-04_13-52-24.csv,False
Mykola,Right,Hello,Goodbye,0.9910573959350586,Mykola-Hello_Right_2025-04-04_13-52-25.csv,False
Mykola,Right,Hello,Goodbye,0.9936622381210327,Mykola-Hello_Right_2025-04-04_13-52-26.csv,False
Mykola,Right,Hello,Goodbye,0.9884794354438782,Mykola-Hello_Right_2025-04-04_13-52-29.csv,False
Mykola,Right,Hello,Goodbye,0.9761254191398621,Mykola-Hello_Right_2025-04-04_13-52-30.csv,False
Mykola,Right,Hello,Unknown Gesture,0.6667296290397644,Mykola-Hello_Right_2025-04-04_13-52-31.csv,False
Mykola,Left,How-Are-You,How-Are-You,0.999994158744812,Mykola-How-Are-You_Left_2025-04-04_13-56-51.csv,True
Mykola,Left,How-Are-You,How-Are-You,0.9999985694885254,Mykola-How-Are-You_Left_2025-04-04_13-56-52.csv,True
Mykola,Left,How-Are-You,How-Are-You,0.9999947547912598,Mykola-How-Are-You_Left_2025-04-04_13-56-53.csv,True
Mykola,Left,How-Are-You,How-Are-You,0.9999992847442627,Mykola-How-Are-You_Left_2025-04-04_13-56-54.csv,True
Mykola,Left,How-Are-You,How-Are-You,0.9999985694885254,Mykola-How-Are-You_Left_2025-04-04_13-56-55.csv,True
Mykola,Left,How-Are-You,How-Are-You,0.9999938011169434,Mykola-How-Are-You_Left_2025-04-04_13-56-56.csv,True
Mykola,Left,How-Are-You,How-Are-You,0.9998407363891602,Mykola-How-Are-You_Left_2025-04-04_13-56-57.csv,True
Mykola,Left,How-Are-You,How-Are-You,0.9999923706054688,Mykola-How-Are-You_Left_2025-04-04_13-56-58.csv,True
Mykola,Right,How-Are-You,How-Are-You,0.9999945163726807,Mykola-How-Are-You_Right_2025-04-04_13-56-42.csv,True
